node_from,node_to,weight
29,1467,26
11,21,29
5,66,29
7,91,22
1,169,23
126,203,28
170,231,19
237,247,22
172,277,20
263,292,27
99,317,20
192,331,18
227,334,23
108,349,38
46,360,30
275,380,30
7,387,13
2,484,25
51,532,26
470,583,21
14,632,19
95,655,25
407,670,25
314,683,24
121,712,28
28,732,24
119,771,21
38,820,26
625,875,24
43,955,14
891,986,26
455,1006,22
339,1011,19
802,1027,25
780,1084,18
206,1127,24
205,1184,20
513,1187,27
7,1188,24
498,1277,22
1006,1289,25
902,1411,22
222,1415,24
260,1424,27
320,1441,21
328,1443,25
6,1473,19
1194,1495,26
0,44,23
6,148,23
35,157,33
160,177,20
98,345,24
448,514,27
212,524,22
2,536,23
214,575,19
387,576,25
262,649,26
76,743,25
112,819,23
683,835,29
0,839,20
778,921,23
409,980,29
213,1073,18
106,1211,24
1069,1267,26
295,1296,22
53,1333,27
22,75,26
29,86,19
91,135,17
90,153,19
2,177,23
92,267,21
258,304,20
22,401,25
44,412,24
17,423,26
272,585,31
6,596,39
363,653,25
559,751,23
150,825,20
200,840,27
298,858,15
454,886,24
120,1008,16
707,1055,29
102,1122,27
668,1163,26
1204,1317,26
7,1350,24
529,1373,22
219,1496,24
12,24,27
19,37,23
10,94,17
57,114,23
145,196,32
292,335,23
61,404,16
94,502,29
464,518,25
260,548,26
522,638,22
92,678,27
521,915,17
333,1047,25
215,1054,23
230,1112,20
366,1160,24
206,1172,20
124,1204,24
227,1227,29
385,1253,22
446,1291,22
4,1355,31
34,1464,19
12,32,19
16,107,23
47,128,20
26,161,18
62,163,31
151,173,23
73,405,23
2,472,20
212,528,25
519,533,26
247,561,26
403,643,27
55,651,19
150,700,26
27,744,32
557,767,26
69,906,21
318,977,23
764,980,22
411,1065,24
143,1128,18
434,1206,25
672,1256,25
56,1256,29
579,1413,26
2,1433,29
562,1450,21
1,47,28
10,51,28
64,184,25
32,284,21
132,325,27
242,389,27
362,477,23
270,551,26
331,554,15
2,596,18
107,635,26
95,657,30
388,658,26
12,659,23
268,672,22
166,767,25
250,821,18
376,882,20
804,937,23
325,965,23
24,970,21
666,1142,20
57,1267,29
338,1382,24
2,14,30
36,140,23
297,321,17
16,503,29
324,511,25
341,529,18
10,621,23
571,629,35
10,637,34
45,664,35
690,797,27
29,824,19
753,828,18
548,828,21
133,921,20
419,944,26
291,1012,17
248,1344,25
533,1345,16
226,1366,27
529,1429,18
959,1460,22
56,1481,21
254,1484,29
22,55,24
31,71,15
105,118,23
9,120,23
45,201,28
9,209,27
19,212,20
48,348,31
308,351,30
245,355,25
369,398,24
27,536,27
525,594,24
2,665,25
274,710,26
222,762,26
519,770,32
390,788,20
9,946,34
44,982,28
660,1042,23
0,1106,30
450,1111,28
320,1212,25
1190,1231,19
14,1383,20
863,1398,28
12,1442,20
16,31,18
12,50,36
2,69,14
22,109,18
137,222,22
148,247,21
251,261,26
161,336,27
252,394,27
124,497,19
222,543,25
34,544,20
34,627,32
